Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5OwANLy1jT7KZTVM6JrawG,Stomp,We Are Barely Alive,BARELY ALIVE,2015-10-26,176727,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:29:01Z,"덥스텝,리딤,데스스텝,베이스 음악,덥,드럼스텝",Disciple,0.727,0.932,1,-0.792,1,0.225,0.00318,0.00836,0.264,0.709,110.099,4
spotify:track:317KO2y39CAzDjpP8djR0k,CAKE SHAKE,DIABOLICAL,Oski,2022-06-03,156000,27,FALSE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:30:04Z,"덥스텝,리딤,edm 트랩,베이스 음악",Deadbeats,0.652,0.969,1,0.074,1,0.333,0.00211,0.00252,0.337,0.361,89.914,4
spotify:track:2gahSUGM2ddz48vXK58fHt,Creep Killa,Creep Killa,SampliFire;Nika D,2022-09-23,226299,11,FALSE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:30:17Z,"리딤,덥스텝,데스스텝,베이스 음악,베이스라인",Disciple Round Table,0.724,0.969,10,-0.374,0,0.32,0.0164,0.0000181,0.0927,0.315,70.005,4
spotify:track:7DHX1Ng0V186U2idfFfjGi,"Burial (feat. Pusha T, Moody Good, TrollPhace)","Burial (feat. Pusha T, Moody Good, TrollPhace)",Yogi;Skrillex;Pusha T;Moody Good;Trollphace,2015-07-06,226849,49,TRUE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:30:22Z,"덥스텝,EDM,일렉트로,일렉트로닉,리딤,베이스 음악,데스스텝,덥",OWSLA,0.689,0.935,2,-4.449,1,0.167,0.019,0.000299,0.24,0.391,145.984,4
spotify:track:70MZYU36nsZaiJtzoMjmLm,$lay (feat. A$AP Ferg),Meekend Mu$ic,Meek Mill;A$AP Ferg,2017-05-06,221704,29,TRUE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:30:26Z,랩,MMG/Atlantic,0.723,0.751,5,-4.045,1,0.17,0.312,0,0.333,0.217,130.075,4
spotify:track:5RD6iZpOFkVuT3SW4eAHuZ,Badman,Badman,Ganja White Night;LSDREAM,2022-06-03,273333,34,FALSE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:30:37Z,"덥스텝,리딤,베이스 음악,EDM,덥",SubCarbon,0.702,0.953,1,-1.924,1,0.0393,0.00168,0.436,0.25,0.542,90.012,4
spotify:track:5BEUYbsFxo0H5MfdtTbnCs,Exterminate,Ghost Planet EP,ATLiens;Hairitage,2019-07-24,171000,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:30:41Z,"리딤,덥스텝,데스스텝,베이스 음악,EDM",Bassrush Records,0.551,0.924,9,-3.233,1,0.593,0.0328,0.0522,0.844,0.291,149.996,4
spotify:track:2QC2PTvF3yONXlvih301aR,Rumor,Rumor,Moore Kismet;WYN,2021-02-12,278808,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2023-06-26T10:30:46Z,"덥스텝,퓨처 베이스,베이스 음악,멜로딕 베이스","Thrive Music, LLC",0.633,0.644,10,-4.579,0,0.113,0.191,0.000762,0.137,0.48,127.95,4
spotify:track:3iDtphWASBHIjVEB8lWBqs,Cheatcode,Cheatcode,Black Tiger Sex Machine;Hairitage;Hyro The Hero,2021-12-03,187000,38,TRUE,312gz2r7n2lelghlsheflimsl64e,2023-07-02T20:54:25Z,"덥스텝,리딤,데스스텝,EDM,베이스 음악,랩 메탈,랩 록",Kannibalen Records,0.467,0.934,2,-2.253,1,0.0588,0.00561,0.00186,0.107,0.135,149.967,4
spotify:track:1eG6ogBMDCT36ciEocKV8V,Seduce / Destroy,Seduce / Destroy,Lucille Croft,2022-02-17,182857,32,FALSE,312gz2r7n2lelghlsheflimsl64e,2023-07-02T20:54:32Z,,This Is Bad Wolf,0.625,0.808,8,-3.321,1,0.0333,0.000478,0.28,0.163,0.27,105.005,4
